1726,173,1859,236,1659,655,1525,592
916,403,1009,454,841,760,749,710
1307,352,1461,408,1081,1454,927,1398
1450,449,1515,476,1324,935,1258,908
2005,560,2165,612,1990,1146,1831,1094
1647,772,1788,823,1400,1890,1260,1839
1749,901,1813,923,1736,1153,1672,1131
1650,1188,1717,1212,1637,1443,1570,1420
1950,1279,2070,1321,1920,1754,1800,1713
2049,1407,2113,1434,2007,1681,1944,1654
1052,1608,1155,1622,1117,1906,1014,1892
2203,1795,2282,1850,2065,2156,1986,2100
2566,2274,2745,2234,2892,2894,2713,2933
2274,2290,2450,2269,2545,3076,2368,3097
1995,2355,2168,2336,2251,3097,2078,3116
2220,2367,2281,2361,2354,3040,2293,3046
1978,2757,2035,2752,2066,3092,2009,3098
1664,2821,1787,2821,1787,3081,1664,3081
